currency,days,month,rate,year
EUR,31,Jan,0.685477,2006.0
EUR,28,Feb,0.682936,2006.0
EUR,31,Mar,0.689778,2006.0
EUR,30,Apr,0.693850,2006.0
EUR,31,May,0.683429,2006.0
EUR,30,Jun,0.686508,2006.0
EUR,31,Jul,0.687815,2006.0
EUR,31,Aug,0.676302,2006.0
EUR,30,Sep,0.675271,2006.0
EUR,31,Oct,0.672520,2006.0
EUR,30,Nov,0.673934,2006.0
EUR,31,Dec,0.672183,2006.0
EUR,31,Jan,0.663181,2007.0
EUR,28,Feb,0.667879,2007.0
EUR,31,Mar,0.680097,2007.0
EUR,30,Apr,0.679827,2007.0
EUR,31,May,0.681246,2007.0
EUR,30,Jun,0.675957,2007.0
EUR,31,Jul,0.674576,2007.0
EUR,31,Aug,0.677547,2007.0
EUR,30,Sep,0.688681,2007.0
EUR,31,Oct,0.696091,2007.0
EUR,30,Nov,0.708869,2007.0
EUR,31,Dec,0.722231,2007.0
EUR,31,Jan,0.746943,2008.0
EUR,29,Feb,0.750834,2008.0
EUR,31,Mar,0.775285,2008.0
EUR,30,Apr,0.794179,2008.0
EUR,31,May,0.791272,2008.0
EUR,30,Jun,0.791344,2008.0
EUR,31,Jul,0.792605,2008.0
EUR,31,Aug,0.793048,2008.0
EUR,30,Sep,0.797490,2008.0
EUR,31,Oct,0.786784,2008.0
EUR,30,Nov,0.829579,2008.0
EUR,31,Dec,0.910457,2008.0
EUR,31,Jan,0.917878,2009.0
EUR,28,Feb,0.887364,2009.0
EUR,31,Mar,0.919826,2009.0
EUR,30,Apr,0.897659,2009.0
EUR,31,May,0.885140,2009.0
EUR,30,Jun,0.855907,2009.0
EUR,31,Jul,0.860524,2009.0
EUR,31,Aug,0.862567,2009.0
EUR,30,Sep,0.892029,2009.0
EUR,31,Oct,0.914931,2009.0
EUR,30,Nov,0.898622,2009.0
EUR,31,Dec,0.898199,2009.0
EUR,31,Jan,0.882991,2010.0
EUR,28,Feb,0.876334,2010.0
EUR,31,Mar,0.901299,2010.0
EUR,30,Apr,0.876353,2010.0
EUR,31,May,0.857120,2010.0
EUR,30,Jun,0.828227,2010.0
EUR,31,Jul,0.836564,2010.0
EUR,31,Aug,0.823856,2010.0
EUR,30,Sep,0.839114,2010.0
EUR,31,Oct,0.875850,2010.0
EUR,30,Nov,0.854791,2010.0
EUR,31,Dec,0.847670,2010.0
EUR,31,Jan,0.846991,2011.0
EUR,28,Feb,0.846618,2011.0
EUR,31,Mar,0.867790,2011.0
EUR,30,Apr,0.883022,2011.0
EUR,31,May,0.875812,2011.0
EUR,30,Jun,0.887714,2011.0
EUR,31,Jul,0.884619,2011.0
EUR,31,Aug,0.876552,2011.0
EUR,30,Sep,0.871395,2011.0
EUR,31,Oct,0.870182,2011.0
EUR,30,Nov,0.857680,2011.0
EUR,31,Dec,0.844093,2011.0
EUR,31,Jan,0.831387,2012.0
EUR,29,Feb,0.837305,2012.0
EUR,31,Mar,0.834678,2012.0
EUR,30,Apr,0.822559,2012.0
EUR,31,May,0.804260,2012.0
EUR,30,Jun,0.806541,2012.0
EUR,31,Jul,0.787857,2012.0
EUR,31,Aug,0.788846,2012.0
EUR,30,Sep,0.798946,2012.0
EUR,31,Oct,0.807261,2012.0
EUR,30,Nov,0.803745,2012.0
EUR,31,Dec,0.812895,2012.0
EUR,31,Jan,0.833348,2013.0
EUR,28,Feb,0.862304,2013.0
EUR,31,Mar,0.859074,2013.0
EUR,30,Apr,0.850685,2013.0
EUR,31,May,0.848683,2013.0
EUR,30,Jun,0.851934,2013.0
EUR,31,Jul,0.862124,2013.0
EUR,31,Aug,0.858896,2013.0
EUR,30,Sep,0.841846,2013.0
EUR,31,Oct,0.848032,2013.0
EUR,30,Nov,0.837761,2013.0
EUR,31,Dec,0.836971,2013.0
EUR,31,Jan,0.827235,2014.0
EUR,28,Feb,0.824781,2014.0
EUR,31,Mar,0.831448,2014.0
EUR,30,Apr,0.824860,2014.0
EUR,31,May,0.815432,2014.0
EUR,30,Jun,0.803976,2014.0
EUR,31,Jul,0.792842,2014.0
EUR,31,Aug,0.797572,2014.0
EUR,30,Sep,0.790727,2014.0
EUR,31,Oct,0.788371,2014.0
EUR,30,Nov,0.790815,2014.0
EUR,31,Dec,0.787537,2014.0
EUR,31,Jan,0.766911,2015.0
EUR,28,Feb,0.740164,2015.0
EUR,31,Mar,0.723018,2015.0
EUR,30,Apr,0.723450,2015.0
EUR,31,May,0.722721,2015.0
EUR,30,Jun,0.720317,2015.0
EUR,31,Jul,0.707379,2015.0
EUR,31,Aug,0.714727,2015.0
EUR,30,Sep,0.732533,2015.0
EUR,31,Oct,0.731897,2015.0
EUR,30,Nov,0.706141,2015.0
EUR,31,Dec,0.727500,2015.0
DKK,31,Jan,0.091846,2006.0
DKK,28,Feb,0.091527,2006.0
DKK,31,Mar,0.092469,2006.0
DKK,30,Apr,0.093010,2006.0
DKK,31,May,0.091665,2006.0
DKK,30,Jun,0.092087,2006.0
DKK,31,Jul,0.092217,2006.0
DKK,31,Aug,0.090660,2006.0
DKK,30,Sep,0.090524,2006.0
DKK,31,Oct,0.090236,2006.0
DKK,30,Nov,0.090423,2006.0
DKK,31,Dec,0.090198,2006.0
DKK,31,Jan,0.089006,2007.0
DKK,28,Feb,0.089616,2007.0
DKK,31,Mar,0.091286,2007.0
DKK,30,Apr,0.091240,2007.0
DKK,31,May,0.091420,2007.0
DKK,30,Jun,0.090809,2007.0
DKK,31,Jul,0.090660,2007.0
DKK,31,Aug,0.091031,2007.0
DKK,30,Sep,0.092470,2007.0
DKK,31,Oct,0.093409,2007.0
DKK,30,Nov,0.095104,2007.0
DKK,31,Dec,0.096829,2007.0
DKK,31,Jan,0.100253,2008.0
DKK,29,Feb,0.100726,2008.0
DKK,31,Mar,0.103954,2008.0
DKK,30,Apr,0.106485,2008.0
DKK,31,May,0.106098,2008.0
DKK,30,Jun,0.106124,2008.0
DKK,31,Jul,0.106289,2008.0
DKK,31,Aug,0.106326,2008.0
DKK,30,Sep,0.106935,2008.0
DKK,31,Oct,0.105426,2008.0
