"Currency","Year","Quarter","market","duration","method","purpose","visits","spend","nights","StandardRate","SpendPerVisit"
"AED",2006,"Q1","United Arab Emirates","15+  nights","Air","Miscellaneous",747.499019,2632043.123,16.23952055,-0.657823592243225,3521.13254479067
"AED",2006,"Q1","United Arab Emirates","1-3  nights","Air","VFR",557.473987,171255.998,1.647830009,-0.657823592243225,307.199980615418
"AED",2006,"Q1","United Arab Emirates","1-3  nights","Air","Holiday",724.539012,219533.205,1.878959954,-0.657823592243225,302.997080024726
"AED",2006,"Q1","United Arab Emirates","15+  nights","Tunnel","Holiday",438.906014,2056710.005,28.96780014,-0.657823592243225,4685.99185109366
"AED",2006,"Q1","United Arab Emirates","15+  nights","Air","Business",503.400028,154543.996,12.58500051,-0.657823592243225,307.000372276499
"AED",2006,"Q1","United Arab Emirates","8-14 nights","Air","Holiday",1426.907003,1107569.009,16.30495977,-0.657823592243225,776.202658387261
"AED",2006,"Q1","United Arab Emirates","1-3  nights","Air","Miscellaneous",1021.993041,312833.607,1.792286038,-0.657823592243225,306.101504070809
"AED",2006,"Q1","United Arab Emirates","15+  nights","Air","VFR",1027.357012,877217.382,15.09106004,-0.657823592243225,853.858368370196
"AED",2006,"Q1","United Arab Emirates","8-14 nights","Air","VFR",2302.305043,2830242.023,21.077519,-0.657823592243225,1229.30800660197
"AED",2006,"Q1","United Arab Emirates","15+  nights","Air","Holiday",467.905015,3144320.011,26.20269966,-0.657823592243225,6719.99638858327
"AED",2006,"Q1","United Arab Emirates","4-7  nights","Air","VFR",1487.502009,242339.306,9.42873013,-0.657823592243225,162.916960470472
"AED",2006,"Q1","United Arab Emirates","1-3  nights","Air","Business",719.605029,528319.813,1.187510043,-0.657823592243225,734.180267936954
"AED",2006,"Q1","United Arab Emirates","4-7  nights","Air","Business",2021.098047,2910025.179,8.099360108,-0.657823592243225,1439.82385383009
"AED",2006,"Q1","United Arab Emirates","4-7  nights","Air","Holiday",1299.572021,1795035.005,8.372459769,-0.657823592243225,1381.25088567138
"AED",2006,"Q2","United Arab Emirates","15+  nights","Air","Business",215.775996,988686.025,17.04630089,-0.990883659194637,4582.00190627321
"AED",2006,"Q2","United Arab Emirates","1-3  nights","Tunnel","Business",409.242004,286469.012,0.409242004,-0.990883659194637,699.99904506381
"AED",2006,"Q2","United Arab Emirates","8-14 nights","Air","Miscellaneous",801.927,2224306.082,7.712045908,-0.990883659194637,2773.7014491344
"AED",2006,"Q2","United Arab Emirates","8-14 nights","Air","VFR",902.826995,920045.521,8.81901601,-0.990883659194637,1019.07178905301
"AED",2006,"Q2","United Arab Emirates","1-3  nights","Air","VFR",301.784992,0,0.900958002,-0.990883659194637,0
"AED",2006,"Q2","United Arab Emirates","4-7  nights","Air","Miscellaneous",1270.357966,3960822.94,7.551669955,-0.990883659194637,3117.87940565408
"AED",2006,"Q2","United Arab Emirates","1-3  nights","Air","Business",2465.477973,1949201.363,4.600968122,-0.990883659194637,790.597760087958
"AED",2006,"Q2","United Arab Emirates","8-14 nights","Air","Holiday",1037.049025,1074694.052,7.493721068,-0.990883659194637,1036.30014212684
"AED",2006,"Q2","United Arab Emirates","4-7  nights","Air","VFR",1337.742984,1723178.815,5.771718159,-0.990883659194637,1288.123978679
"AED",2006,"Q2","United Arab Emirates","15+  nights","Air","VFR",406.322986,127981.007,16.57830048,-0.990883659194637,314.973583601298
"AED",2006,"Q2","United Arab Emirates","1-3  nights","Air","Holiday",2242.708981,1065996.036,5.998379946,-0.990883659194637,475.316255934679
"AED",2006,"Q2","United Arab Emirates","15+  nights","Air","Holiday",1061.398998,1657506.973,25.55398059,-0.990883659194637,1561.62477647261
"AED",2006,"Q2","United Arab Emirates","1-3  nights","Tunnel","Holiday",409.242004,245545,0.818484008,-0.990883659194637,599.999505427112
"AED",2006,"Q2","United Arab Emirates","8-14 nights","Air","Business",622.850001,448939.584,5.833940029,-0.990883659194637,720.782826168768
"AED",2006,"Q2","United Arab Emirates","4-7  nights","Air","Business",1196.987003,1230318.993,6.463320017,-0.990883659194637,1027.8465763759
"AED",2006,"Q2","United Arab Emirates","1-3  nights","Air","Miscellaneous",724.737018,67695.099,0.717312992,-0.990883659194637,93.4064320142123
"AED",2006,"Q2","United Arab Emirates","4-7  nights","Air","Holiday",3087.103963,2338412.71,13.40849394,-0.990883659194637,757.477797322888
"AED",2006,"Q2","United Arab Emirates","15+  nights","Air","Miscellaneous",278.692991,395850.986,9.654359818,-0.990883659194637,1420.38371535508
"AED",2006,"Q3","United Arab Emirates","8-14 nights","Air","VFR",1180.64703,970361.792,6.957499981,-1.200203214794,821.889834424095
"AED",2006,"Q3","United Arab Emirates","4-7  nights","Air","VFR",662.923992,481467.895,3.977540016,-1.200203214794,726.279182546164
"AED",2006,"Q3","United Arab Emirates","15+  nights","Air","Holiday",5673.59601,13644596.52,111.3904493,-1.200203214794,2404.92916590302
"AED",2006,"Q3","United Arab Emirates","8-14 nights","Tunnel","VFR",1247.230053,786948.025,12.36390018,-1.200203214794,630.956593057656
"AED",2006,"Q3","United Arab Emirates","15+  nights","Air","VFR",3508.786052,3749685.988,55.34367096,-1.200203214794,1068.65620543113
"AED",2006,"Q3","United Arab Emirates","15+  nights","Air","Miscellaneous",991.182983,2932776.988,73.97153687,-1.200203214794,2958.86535412806
"AED",2006,"Q3","United Arab Emirates","1-3  nights","Tunnel","Holiday",1193.797946,591363.013,6.431640148,-1.200203214794,495.362732848931
"AED",2006,"Q3","United Arab Emirates","1-3  nights","Air","Holiday",675.766021,349569.192,1.006525993,-1.200203214794,517.293236322694
"AED",2006,"Q3","United Arab Emirates","1-3  nights","Air","Business",3118.632063,2330767.255,6.863460064,-1.200203214794,747.368464094445
"AED",2006,"Q3","United Arab Emirates","8-14 nights","Tunnel","Holiday",596.898973,563107.014,9.647439957,-1.200203214794,943.387473377341
"AED",2006,"Q3","United Arab Emirates","8-14 nights","Air","Business",1365.26899,2322562.97,11.89228034,-1.200203214794,1701.17609570844
"AED",2006,"Q3","United Arab Emirates","4-7  nights","Air","Business",1278.095007,2015659.958,5.482390165,-1.200203214794,1577.08147435083
